"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2021-10-03","87.1","2.68","5.84","Ohtani, Shohei",660271,542881,,"ball",,,,,"13","Shohei Ohtani homers (46) on a line drive to right field.","R","L","L","SEA","LAA","B",,,"0","1",2021,"-0.07","0.95","-1.27","0.64",,,,"0","1","Top",,,,,"663728",,,-9.256669488719316,-126.48140740935759,-8.27841565706404,0.8392541888630024,22.535655042200847,-20.44862738207002,"3.33","1.47",,,,"86.8","2417","5.9",632237,542881,"663728","664034","647351","572122","641487","664238","672284","571745","54.56",,,,,,,,"1","2","Cutter","0","0","0","0","0","0","0","0","Infield shift","Standard","144","0","0.027"
"FF","2021-10-03","90.6","2.22","6.14","Ohtani, Shohei",660271,542881,,"swinging_strike",,,,,"5","Shohei Ohtani homers (46) on a line drive to right field.","R","L","L","SEA","LAA","S",,,"0","0",2021,"0.65","1.7","-0.20","2.77",,,,"0","1","Top",,,,,"663728",,,-7.3659599309891695,-131.6288324981424,-6.074422018063606,9.071138770060209,27.402298354544996,-11.268010036172063,"3.55","1.63",,,,"90","2192","6",632237,542881,"663728","664034","647351","572122","641487","664238","672284","571745","54.51",,,,,,,,"1","1","4-Seam Fastball","0","0","0","0","0","0","0","0","Infield shift","Standard","151","0","-0.038"
"FF","2021-10-02","92.4","-1.34","6.94","Ohtani, Shohei",660271,623167,"walk","ball",,,,,"11","Shohei Ohtani walks.","R","L","R","SEA","LAA","B",,,"3","1",2021,"-0.23","1.65","-1.72","3.29",,,,"0","6","Top",,,,,"608596",,,-0.45679095782507634,-134.4742776699331,-7.012493263991241,-2.6528186820427657,29.321533767838748,-10.837289968620416,"3.34","1.57",,,,"91.6","2157","5.8",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.7",,,"0.7","1","0","0",,"45","5","4-Seam Fastball","3","1","1","3","1","3","1","3","Infield shift","Standard","199","-0.054","0.251"
"FC","2021-10-02","89.3","-1.26","6.89","Ohtani, Shohei",660271,623167,,"ball",,,,,"12","Shohei Ohtani walks.","R","L","R","SEA","LAA","B",,,"2","1",2021,"0.56","0.72","0.90","3.98",,,,"0","6","Top",,,,,"608596",,,4.110413732741666,-130.04220838410748,-2.680718821601484,5.473137818546213,26.65764772602614,-23.626888098457474,"3.41","1.53",,,,"88.9","2298","5.9",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.58",,,,,,,,"45","4","Cutter","3","1","1","3","1","3","1","3","Infield shift","Standard","186","0","0.113"
"CH","2021-10-02","82.5","-1.29","6.64","Ohtani, Shohei",660271,623167,,"called_strike",,,,,"1","Shohei Ohtani walks.","R","L","R","SEA","LAA","S",,,"2","0",2021,"-0.99","0.94","-0.54","2.94",,,,"0","6","Top",,,,,"608596",,,3.610950487281898,-120.22128462415463,-3.784927334650288,-10.284803720796898,21.710402132595927,-22.48738523510107,"3.34","1.57",,,,"82.4","1297","6",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.49",,,,,,,,"45","3","Changeup","3","1","1","3","1","3","1","3","Infield shift","Standard","219","0","-0.067"
"CU","2021-10-02","75.5","-1.06","6.94","Ohtani, Shohei",660271,623167,,"ball",,,,,"14","Shohei Ohtani walks.","R","L","R","SEA","LAA","B",,,"1","0",2021,"0.89","-1.44","0.05","0.02",,,,"0","6","Top",,,,,"608596",,,0.717799470557819,-109.91209724933982,-4.590913331451294,6.972531285113574,22.572271507375902,-43.025321249847885,"3.33","1.6",,,,"74.5","2653","5.9",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.6",,,,,,,,"45","2","Curveball","3","1","1","3","1","3","1","3","Infield shift","Standard","16","0","0.07"
"FC","2021-10-02","88.4","-1.41","6.82","Ohtani, Shohei",660271,623167,,"ball",,,,,"11","Shohei Ohtani walks.","R","L","R","SEA","LAA","B",,,"0","0",2021,"0.49","0.95","-0.92","3.47",,,,"0","6","Top",,,,,"608596",,,0.18358513434603516,-128.8530744989973,-4.106362210296116,5.452673350036254,25.495606461811946,-20.95079393278304,"3.33","1.59",,,,"88.2","2313","5.9",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.55",,,,,,,,"45","1","Cutter","3","1","1","3","1","3","1","3","Infield shift","Standard","182","0","0.038"
"CH","2021-10-02","84.4","-1.31","6.8","Ohtani, Shohei",660271,623167,"field_out","hit_into_play",,,,,"13","Shohei Ohtani flies out to shortstop J.  P. Crawford.","R","L","R","SEA","LAA","X","6","fly_ball","0","1",2021,"-1.2","0.92","-1.12","2.40",,,,"2","3","Top",128.77,114.41,,,"608596",,,2.8022736894118654,-122.82769958558116,-5.686335515960527,-12.684593597968723,23.64472372232036,-21.927125974135908,"3.55","1.63","214","83.9","55","84","1263","6",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.52","0.023","0.021","0","1","0","0","3","20","2","Changeup","0","0","0","0","0","0","0","0","Infield shift","Standard","217","0.011","-0.085"
"CU","2021-10-02","77.0","-1.14","7.01","Ohtani, Shohei",660271,623167,,"called_strike",,,,,"2","Shohei Ohtani flies out to shortstop J.  P. Crawford.","R","L","R","SEA","LAA","S",,,"0","0",2021,"0.84","-1.14","-0.01","3.00",,,,"2","3","Top",,,,,"608596",,,0.868334865612309,-112.15124077444847,0.5557262783323342,6.837180694612573,22.124522470856753,-42.03529167329027,"3.29","1.58",,,,"76.1","2777","5.8",632255,623167,"608596","664034","647351","572122","641487","664238","672284","571745","54.69",,,,,,,,"20","1","Curveball","0","0","0","0","0","0","0","0","Infield shift","Standard","24","0","-0.018"
"SL","2021-10-02","79.9","-3.72","4.7","Ohtani, Shohei",660271,623149,"walk","ball",,,,,"13","Shohei Ohtani walks.   Brandon Marsh to 2nd.","R","L","R","SEA","LAA","B",,,"3","2",2021,"0.87","0.07","0.00","0.84",,,"669016","0","8","Top",,,,,"608596",,,6.5680118891740555,-116.2737034447927,-1.893831300749095,6.623959062067864,22.63960756437279,-31.434475667809433,"3.26","1.61",,,,"80.1","2110","6.5",632255,623149,"608596","664034","647351","572122","641487","641584","672284","571745","54.02",,,"0.7","1","0","0",,"62","6","Slider","3","1","1","3","1","3","1","3","Infield shift","Standard","60","-0.102","0.504"
